county,state,state_abbr,ssa,fips
Hall,Georgia,GA,11550,13139
Hancock,Georgia,GA,11560,13141
Haralson,Georgia,GA,11570,13143
Harris,Georgia,GA,11580,13145
Hart,Georgia,GA,11581,13147
Heard,Georgia,GA,11590,13149
Henry,Georgia,GA,11591,13151
Houston,Georgia,GA,11600,13153
Irwin,Georgia,GA,11601,13155
Jackson,Georgia,GA,11610,13157
Jasper,Georgia,GA,11611,13159
Jeff Davis,Georgia,GA,11612,13161
Jefferson,Georgia,GA,11620,13163
Jenkins,Georgia,GA,11630,13165
Johnson,Georgia,GA,11640,13167
Jones,Georgia,GA,11650,13169
Lamar,Georgia,GA,11651,13171
Lanier,Georgia,GA,11652,13173
Laurens,Georgia,GA,11660,13175
Lee,Georgia,GA,11670,13177
Liberty,Georgia,GA,11680,13179
Lincoln,Georgia,GA,11690,13181
Long,Georgia,GA,11691,13183
Lowndes,Georgia,GA,11700,13185
Lumpkin,Georgia,GA,11701,13187
McDuffie,Georgia,GA,11702,13189
McIntosh,Georgia,GA,11703,13191
Macon,Georgia,GA,11710,13193
Madison,Georgia,GA,11720,13195
Marion,Georgia,GA,11730,13197
Meriwether,Georgia,GA,11740,13199
Miller,Georgia,GA,11741,13201
Mitchell,Georgia,GA,11750,13205
Monroe,Georgia,GA,11760,13207
Montgomery,Georgia,GA,11770,13209
Morgan,Georgia,GA,11771,13211
Murray,Georgia,GA,11772,13213
Muscogee,Georgia,GA,11780,13215
Newton,Georgia,GA,11790,13217
Oconee,Georgia,GA,11800,13219
Oglethorpe,Georgia,GA,11801,13221
Paulding,Georgia,GA,11810,13223
Peach,Georgia,GA,11811,13225
Pickens,Georgia,GA,11812,13227
Pierce,Georgia,GA,11820,13229
Pike,Georgia,GA,11821,13231
Polk,Georgia,GA,11830,13233
Pulaski,Georgia,GA,11831,13235
Putnam,Georgia,GA,11832,13237
Quitman,Georgia,GA,11833,13239
Rabun,Georgia,GA,11834,13241
Randolph,Georgia,GA,11835,13243
Richmond,Georgia,GA,11840,13245
Rockdale,Georgia,GA,11841,13247
Schley,Georgia,GA,11842,13249
Screven,Georgia,GA,11850,13251
Seminole,Georgia,GA,11851,13253
Spalding,Georgia,GA,11860,13255
Stephens,Georgia,GA,11861,13257
Stewart,Georgia,GA,11862,13259
Sumter,Georgia,GA,11870,13261
Talbot,Georgia,GA,11880,13263
Taliaferro,Georgia,GA,11881,13265
Tattnall,Georgia,GA,11882,13267
Taylor,Georgia,GA,11883,13269
Telfair,Georgia,GA,11884,13271
Terrell,Georgia,GA,11885,13273
Thomas,Georgia,GA,11890,13275
Tift,Georgia,GA,11900,13277
Toombs,Georgia,GA,11901,13279
Towns,Georgia,GA,11902,13281
Treutlen,Georgia,GA,11903,13283
Troup,Georgia,GA,11910,13285
Turner,Georgia,GA,11911,13287
Twiggs,Georgia,GA,11912,13289
Union,Georgia,GA,11913,13291
Upson,Georgia,GA,11920,13293
Walker,Georgia,GA,11921,13295
Walton,Georgia,GA,11930,13297
Ware,Georgia,GA,11940,13299
Warren,Georgia,GA,11941,13301
Washington,Georgia,GA,11950,13303
Wayne,Georgia,GA,11960,13305
Webster,Georgia,GA,11961,13307
Wheeler,Georgia,GA,11962,13309
White,Georgia,GA,11963,13311
Whitfield,Georgia,GA,11970,13313
Wilcox,Georgia,GA,11971,13315
Wilkes,Georgia,GA,11972,13317
Wilkinson,Georgia,GA,11973,13319
Worth,Georgia,GA,11980,13321
Statewide,Georgia,GA,11999,13990
Hawaii,Hawaii,HI,12010,15001
Honolulu,Hawaii,HI,12020,15003
Kalawao,Hawaii,HI,12005,15005
Kauai,Hawaii,HI,12040,15007
Maui,Hawaii,HI,12050,15009
Statewide,Hawaii,HI,12999,15990
Ada,Idaho,ID,13000,16001
Adams,Idaho,ID,13010,16003
Bannock,Idaho,ID,13020,16005
Bear Lake,Idaho,ID,13030,16007
Benewah,Idaho,ID,13040,16009
Bingham,Idaho,ID,13050,16011
Blaine,Idaho,ID,13060,16013
Boise,Idaho,ID,13070,16015
Bonner,Idaho,ID,13080,16017
Bonneville,Idaho,ID,13090,16019
Boundary,Idaho,ID,13100,16021
Butte,Idaho,ID,13110,16023
Camas,Idaho,ID,13120,16025
Canyon,Idaho,ID,13130,16027
Caribou,Idaho,ID,13140,16029
Cassia,Idaho,ID,13150,16031
Clark,Idaho,ID,13160,16033
Clearwater,Idaho,ID,13170,16035
Custer,Idaho,ID,13180,16037
Elmore,Idaho,ID,13190,16039
Franklin,Idaho,ID,13200,16041
Fremont,Idaho,ID,13210,16043
Gem,Idaho,ID,13220,16045
Gooding,Idaho,ID,13230,16047
Idaho,Idaho,ID,13240,16049
Jefferson,Idaho,ID,13250,16051
Jerome,Idaho,ID,13260,16053
Kootenai,Idaho,ID,13270,16055
Latah,Idaho,ID,13280,16057
Lemhi,Idaho,ID,13290,16059
Lewis,Idaho,ID,13300,16061
Lincoln,Idaho,ID,13310,16063
Madison,Idaho,ID,13320,16065
Minidoka,Idaho,ID,13330,16067
Nez Perce,Idaho,ID,13340,16069
Oneida,Idaho,ID,13350,16071
Owyhee,Idaho,ID,13360,16073
Payette,Idaho,ID,13370,16075
Power,Idaho,ID,13380,16077
Shoshone,Idaho,ID,13390,16079
Teton,Idaho,ID,13400,16081
Twin Falls,Idaho,ID,13410,16083
Valley,Idaho,ID,13420,16085
Washington,Idaho,ID,13430,16087
Statewide,Idaho,ID,13999,16990
Adams,Illinois,IL,14000,17001
Alexander,Illinois,IL,14010,17003
Bond,Illinois,IL,14020,17005
Boone,Illinois,IL,14030,17007
Brown,Illinois,IL,14040,17009
Bureau,Illinois,IL,14050,17011
Calhoun,Illinois,IL,14060,17013
Carroll,Illinois,IL,14070,17015
Cass,Illinois,IL,14080,17017
Champaign,Illinois,IL,14090,17019
Christian,Illinois,IL,14100,17021
Clark,Illinois,IL,14110,17023
Clay,Illinois,IL,14120,17025
Clinton,Illinois,IL,14130,17027
Coles,Illinois,IL,14140,17029
Cook,Illinois,IL,14141,17031
Crawford,Illinois,IL,14150,17033
Cumberland,Illinois,IL,14160,17035
DeKalb,Illinois,IL,14170,17037
De Witt,Illinois,IL,14180,17039
Douglas,Illinois,IL,14190,17041
DuPage,Illinois,IL,14250,17043
Edgar,Illinois,IL,14310,17045
Edwards,Illinois,IL,14320,17047
Effingham,Illinois,IL,14330,17049
Fayette,Illinois,IL,14340,17051
Ford,Illinois,IL,14350,17053
Franklin,Illinois,IL,14360,17055
Fulton,Illinois,IL,14370,17057
Gallatin,Illinois,IL,14380,17059
Greene,Illinois,IL,14390,17061
Grundy,Illinois,IL,14400,17063
Hamilton,Illinois,IL,14410,17065
Hancock,Illinois,IL,14420,17067
Hardin,Illinois,IL,14421,17069
Henderson,Illinois,IL,14440,17071
Henry,Illinois,IL,14450,17073
Iroquois,Illinois,IL,14460,17075
Jackson,Illinois,IL,14470,17077
Jasper,Illinois,IL,14480,17079
Jefferson,Illinois,IL,14490,17081
Jersey,Illinois,IL,14500,17083
Jo Daviess,Illinois,IL,14510,17085
Johnson,Illinois,IL,14520,17087
Kane,Illinois,IL,14530,17089
Kankakee,Illinois,IL,14540,17091
Kendall,Illinois,IL,14550,17093
Knox,Illinois,IL,14560,17095
Lake,Illinois,IL,14570,17097
LaSalle,Illinois,IL,14580,17099
Lawrence,Illinois,IL,14590,17101
Lee,Illinois,IL,14600,17103
Livingston,Illinois,IL,14610,17105
Logan,Illinois,IL,14620,17107
McDonough,Illinois,IL,14630,17109
McHenry,Illinois,IL,14640,17111
McLean,Illinois,IL,14650,17113
Macon,Illinois,IL,14660,17115
Macoupin,Illinois,IL,14670,17117
Madison,Illinois,IL,14680,17119
Marion,Illinois,IL,14690,17121
Marshall,Illinois,IL,14700,17123
Mason,Illinois,IL,14710,17125
Massac,Illinois,IL,14720,17127
Menard,Illinois,IL,14730,17129
Mercer,Illinois,IL,14740,17131
Monroe,Illinois,IL,14750,17133
Montgomery,Illinois,IL,14760,17135
Morgan,Illinois,IL,14770,17137
Moultrie,Illinois,IL,14780,17139
Ogle,Illinois,IL,14790,17141
Peoria,Illinois,IL,14800,17143
Perry,Illinois,IL,14810,17145
Piatt,Illinois,IL,14820,17147
Pike,Illinois,IL,14830,17149
Pope,Illinois,IL,14831,17151
Pulaski,Illinois,IL,14850,17153
Putnam,Illinois,IL,14860,17155
Randolph,Illinois,IL,14870,17157
Richland,Illinois,IL,14880,17159
Rock Island,Illinois,IL,14890,17161
St. Clair,Illinois,IL,14900,17163
Saline,Illinois,IL,14910,17165
Sangamon,Illinois,IL,14920,17167
Schuyler,Illinois,IL,14921,17169
Scott,Illinois,IL,14940,17171
Shelby,Illinois,IL,14950,17173
Stark,Illinois,IL,14960,17175
Stephenson,Illinois,IL,14970,17177
Tazewell,Illinois,IL,14980,17179
Union,Illinois,IL,14981,17181
Vermilion,Illinois,IL,14982,17183
Wabash,Illinois,IL,14983,17185
Warren,Illinois,IL,14984,17187
Washington,Illinois,IL,14985,17189
Wayne,Illinois,IL,14986,17191
White,Illinois,IL,14987,17193
Whiteside,Illinois,IL,14988,17195
Will,Illinois,IL,14989,17197
Williamson,Illinois,IL,14990,17199
Winnebago,Illinois,IL,14991,17201
Woodford,Illinois,IL,14992,17203
Statewide,Illinois,IL,14999,17990
Adams,Indiana,IN,15000,18001
Allen,Indiana,IN,15010,18003
Bartholomew,Indiana,IN,15020,18005
Benton,Indiana,IN,15030,18007
Blackford,Indiana,IN,15040,18009
Boone,Indiana,IN,15050,18011
