state,county, TOT_MALE,TOT_FEMALE,% Age 0 to 4 years,% Age 5 to 9 years,% Age 10 to 14 years,% Age 15 to 19 years,% Age 20 to 24 years,% Age 25 to 29 years,% Age 30 to 34 years,% Age 35 to 39 years,% Age 40 to 44 years,% Age 45 to 49 years,% Age 50 to 54 years,% Age 55 to 59 years,% Age 60 to 64 years,% Age 65 to 69 years,% Age 70 to 74 years,% Age 75 to 79 years,% Age 80 to 84 years,%  Age 85 years or older,%  TOT_MALE,% TOT_FEMALE,fips
Indiana,Noble,23825,23707,6.456702852814946,6.5661028359841795,7.081545064377683,6.721787427417319,6.1937221240427505,6.2568374989480775,5.913910628629134,5.827652949591854,6.149541361609021,6.317849028023225,6.606075906757552,7.117310443490702,6.749137423209627,5.747706808045106,4.163510897921401,2.5793149877976944,1.550534376840865,2.000757384498864,50.12412690398048,49.875873096019525,18113
Indiana,Ohio,2894,2950,4.5687885010266935,5.116358658453114,5.663928815879535,5.424366872005475,4.4490075290896645,5.338809034907597,5.561259411362081,5.2703627652292955,5.304585900068446,6.46817248459959,7.152635181382615,9.633812457221081,7.95687885010267,6.981519507186857,5.766598220396988,4.58590006844627,2.737850787132101,2.0191649555099245,49.520876112251884,50.47912388774812,18115
Indiana,Orange,9719,9770,5.9264200318128175,6.044435322489609,6.4805787880342764,6.542151983169993,5.531325363025296,5.6031607573503,5.331212478834215,5.6493406537020885,5.664733952486017,5.967468828569963,6.742264867361075,7.619682898045051,7.357996818718251,6.249679306275334,5.279901482887783,3.550720919493047,2.3089948175894093,2.1499307301554724,49.8691569603366,50.1308430396634,18117
Indiana,Owen,10423,10422,5.219477092828016,5.56008635164308,6.231710242264333,6.231710242264333,5.296234108899016,5.3010314224034545,5.488126649076517,5.315423362916767,5.646437994722955,6.505157112017271,7.522187574958024,8.539218037898777,7.862796833773087,6.749820100743584,5.190693211801391,3.545214679779324,2.0628448069081315,1.731830175101943,50.00239865675222,49.99760134324778,18119
Indiana,Parke,8000,8927,6.025875819696344,5.771843799846399,6.256276953978851,5.423288237726709,5.760028357062681,6.699356058368287,6.197199740060259,5.730489750103385,5.594612158090624,6.1558456903172445,6.551663023571809,7.561883381579724,6.88840314290778,6.433508595734626,5.228333431795357,3.4855556211969043,2.244934128906481,1.990902109056537,47.26177113487328,52.73822886512672,18121
Indiana,Perry,10232,8870,5.402575646529159,5.664328342581928,6.376295675845461,5.486336509266045,5.868495445503089,6.905036121872055,6.198303842529578,6.475761700345514,5.868495445503089,6.161658465082191,6.35535546016124,7.386661082609152,7.056852685582661,6.397235891529683,4.575437127002409,3.0415663281331797,2.219662862527484,2.5599413673960845,53.56507172023872,46.43492827976129,18123
Indiana,Pike,6187,6223,5.801772763900081,5.817888799355359,6.45447219983884,5.906526994359387,4.746172441579372,5.785656728444803,5.189363416599516,5.7695406929895245,5.777598710717164,6.559226430298147,6.6317485898468975,7.751813053988718,7.767929089443997,6.470588235294119,5.036261079774375,3.714746172441579,2.5866236905721194,2.2320709105560033,49.8549556809025,50.1450443190975,18125
Indiana,Porter,83930,85664,5.443588806207767,5.907048598417397,6.493743882448672,6.898239324504404,6.333950493531611,6.062714482823685,6.17415710461455,6.759673101642746,6.368149816620871,6.56332181563027,6.432420958288619,7.135276012123071,7.0338573298583675,5.740179487481869,4.2230267580221,2.7795794662547024,1.8090262627215585,1.842046298807741,49.488779084165714,50.511220915834286,18127
Indiana,Posey,12755,12785,5.446358653093187,6.374314800313234,6.382145653876273,5.861393891934221,5.469851213782302,5.477682067345341,5.642129992169147,6.049334377447142,5.669537979639781,6.194205168363352,6.793265465935787,7.924823805794831,7.924823805794831,6.5074393108848865,4.596711041503524,3.281127642913077,2.149569303054033,2.255285826155051,49.94126859827721,50.05873140172279,18129
Indiana,Pulaski,6357,6112,5.277087176196969,6.04699655144759,6.91314459860454,6.207394337958136,5.33322640147566,5.718181089100971,5.33322640147566,5.83847942898388,5.870558986285989,6.055016440773117,7.0575026064640305,7.241960060951159,7.514636298019087,6.3036330098644635,4.627476140829256,3.9056861015317987,2.3418076830539736,2.4139866869837197,50.9824364423771,49.01756355762291,18131
